Id	SurahId	AyahId	WordId	AyahNo	WordNo	SegmentNo	WordPart	PartOfSpeech	Person	Gender	Number	Text	TextBw	Root	RootBw	Lemma	LemmaBw	Special	SpecialBw	PrefixType	SuffixType	VerbAspect	VerbMood	VerbVoice	VerbForm	NominalDerivation	NominalCase	NominalState
253289	74	5526	74398	31	25	1	2	V	3	1	3	أُوتُ	>uwtu	أتي	>ty	آتَى	A^taY					PERF		PASS	4			
253290	74	5526	74398	31	25	2	3	N	3	1	3	وا۟	wA@								PRON							
253291	74	5526	74399	31	26	1	1	P	0	0	0	ٱلْ	{lo			ال	Al			DET								
253292	74	5526	74399	31	26	2	2	N	0	1	0	كِتَٰبَ	kita`ba	كتب	ktb	كِتاب	kitAb										ACC	
253293	74	5526	74400	31	27	1	1	P	0	0	0	وَ	wa			و	w			CONJ								
253294	74	5526	74400	31	27	2	1	P	0	0	0	ٱلْ	{lo			ال	Al			DET								
253295	74	5526	74400	31	27	3	2	N	0	1	3	مُؤْمِنُونَ	mu&ominuwna	أمن	>mn	مُؤْمِن	mu&omin								4	ACT_PCPL	NOM	
253296	74	5526	74401	31	28	1	1	P	0	0	0	وَ	wa			و	w			CONJ								
253297	74	5526	74401	31	28	2	1	P	0	0	0	لِ	li			ل	l			PRP								
253298	74	5526	74401	31	28	3	2	V	3	1	1	يَقُولَ	yaquwla	قول	qwl	قالَ	qAla					IMPF	SUBJ	ACT	1			
253299	74	5526	74402	31	29	1	2	N	0	1	3	ٱلَّذِينَ	{l~a*iyna			الَّذِي	Al~a*iy											
253300	74	5526	74403	31	30	1	2	P	0	0	0	فِى	fiY			فِي	fiy											
253301	74	5526	74404	31	31	1	2	N	0	2	3	قُلُوبِ	quluwbi	قلب	qlb	قَلْب	qalob										GEN	
253302	74	5526	74404	31	31	2	3	N	3	1	3	هِم	him								PRON							
253303	74	5526	74405	31	32	1	2	N	0	1	0	مَّرَضٌ	m~araDN	مرض	mrD	مَرَض	maraD										NOM	INDEF
253304	74	5526	74406	31	33	1	1	P	0	0	0	وَ	wa			و	w			CONJ								
253305	74	5526	74406	31	33	2	1	P	0	0	0	ٱلْ	{lo			ال	Al			DET								
253306	74	5526	74406	31	33	3	2	N	0	1	3	كَٰفِرُونَ	ka`firuwna	كفر	kfr	كافِر	kAfir								1	ACT_PCPL	NOM	
253307	74	5526	74407	31	34	1	2	N	0	0	0	مَاذَآ	maA*aA^			ماذا	mA*A											
253308	74	5526	74408	31	35	1	2	V	3	1	1	أَرَادَ	>araAda	رود	rwd	أَرادَ	>arAda					PERF		ACT	4			
253309	74	5526	74409	31	36	1	2	N	0	0	0	ٱللَّهُ	{ll~ahu	أله	>lh	اللَّه	All~ah										NOM	
253310	74	5526	74410	31	37	1	1	P	0	0	0	بِ	bi			ب	b			P								
253311	74	5526	74410	31	37	2	1	P	0	0	0	هَٰ	ha`			ه	h			ATT								
253312	74	5526	74410	31	37	3	2	N	0	1	1	ذَا	*aA			ذا	*A											
253313	74	5526	74411	31	38	1	2	N	0	1	0	مَثَلًا	mavalFA	مثل	mvl	مَثَل	maval										ACC	INDEF
253314	74	5526	74412	31	39	1	1	P	0	0	0	كَ	ka			ك	k			P								
253315	74	5526	74412	31	39	2	2	N	0	1	1	ذَٰ	*a`			ذا	*A											
253316	74	5526	74412	31	39	3	3	P	0	0	0	لِ	li			ل	l				DIST							
253317	74	5526	74412	31	39	4	3	P	0	1	0	كَ	ka								ADDR							
253318	74	5526	74413	31	40	1	2	V	3	1	1	يُضِلُّ	yuDil~u	ضلل	Dll	أَضَلَّ	>aDal~a					IMPF	IND	ACT	4			
253319	74	5526	74414	31	41	1	2	N	0	0	0	ٱللَّهُ	{ll~ahu	أله	>lh	اللَّه	All~ah										NOM	
253320	74	5526	74415	31	42	1	2	N	0	0	0	مَن	man			مَن	man											
253321	74	5526	74416	31	43	1	2	V	3	1	1	يَشَآءُ	ya$aA^'u	شيأ	$y>	شاءَ	$A'a					IMPF	IND	ACT	1			
